f_1,f_2,f_3,"w_1,1","w_1,2","w_1,3","w_2,1","w_2,2","w_2,3","w_3,1","w_3,2","w_3,3"
238,12,240,2,0,0,2,1,0,-1,-1,1
206,12,240,1,0,0,2,1,0,-1,-1,1
204,12,240,0,0,0,2,1,0,-1,-1,1
76,12,240,-1,0,0,2,1,0,-1,-1,1
68,12,240,-2,0,0,2,1,0,-1,-1,1
34,12,240,2,0,0,-2,1,0,-1,-1,1
2,12,240,1,0,0,-1,1,0,-1,-1,1
0,12,240,0,0,0,0,1,0,-1,-1,1
4,12,240,-1,0,0,1,1,0,-1,-1,1
10,12,240,1,0,0,0,1,0,-1,-1,1
42,12,240,2,0,0,-1,1,0,-1,-1,1
12,12,240,0,0,0,1,1,0,-1,-1,1
174,12,240,2,0,0,1,1,0,-1,-1,1
170,12,240,2,0,0,0,1,0,-1,-1,1
238,4,240,2,-1,0,2,1,0,-1,-1,1
204,4,240,0,-1,0,2,1,0,-1,-1,1
206,4,240,1,-1,0,2,1,0,-1,-1,1
68,4,240,-2,-1,0,2,1,0,-1,-1,1
76,4,240,-1,-1,0,2,1,0,-1,-1,1
174,4,240,2,-1,0,1,1,0,-1,-1,1
170,4,240,2,-1,0,0,1,0,-1,-1,1
10,4,240,1,-1,0,0,1,0,-1,-1,1
42,4,240,2,-1,0,-1,1,0,-1,-1,1
34,4,240,2,-1,0,-2,1,0,-1,-1,1
12,4,240,0,-1,0,1,1,0,-1,-1,1
4,4,240,-1,-1,0,1,1,0,-1,-1,1
0,4,240,0,-1,0,0,1,0,-1,-1,1
2,4,240,1,-1,0,-1,1,0,-1,-1,1
206,68,240,1,-2,0,2,2,0,-1,-1,1
204,76,240,0,-1,0,2,2,0,-1,-1,1
206,76,240,1,-1,0,2,2,0,-1,-1,1
238,76,240,2,-1,0,2,2,0,-1,-1,1
174,76,240,2,-1,0,1,2,0,-1,-1,1
170,76,240,2,-1,0,0,2,0,-1,-1,1
174,68,240,2,-2,0,1,2,0,-1,-1,1
76,76,240,-1,-1,0,2,2,0,-1,-1,1
68,76,240,-2,-1,0,2,2,0,-1,-1,1
0,76,240,0,-1,0,0,2,0,-1,-1,1
10,76,240,1,-1,0,0,2,0,-1,-1,1
2,76,240,1,-1,0,-1,2,0,-1,-1,1
4,76,240,-1,-1,0,1,2,0,-1,-1,1
12,76,240,0,-1,0,1,2,0,-1,-1,1
76,68,240,-1,-2,0,2,2,0,-1,-1,1
12,68,240,0,-2,0,1,2,0,-1,-1,1
4,68,240,-1,-2,0,1,2,0,-1,-1,1
2,68,240,1,-2,0,-1,2,0,-1,-1,1
10,68,240,1,-2,0,0,2,0,-1,-1,1
42,68,240,2,-2,0,-1,2,0,-1,-1,1
42,76,240,2,-1,0,-1,2,0,-1,-1,1
34,76,240,2,-1,0,-2,2,0,-1,-1,1
174,204,240,2,0,0,1,2,0,-1,-1,1
42,204,240,2,0,0,-1,2,0,-1,-1,1
206,204,240,1,0,0,2,2,0,-1,-1,1
76,204,240,-1,0,0,2,2,0,-1,-1,1
4,204,240,-1,0,0,1,2,0,-1,-1,1
2,204,240,1,0,0,-1,2,0,-1,-1,1
10,204,240,1,0,0,0,2,0,-1,-1,1
12,204,240,0,0,0,1,2,0,-1,-1,1
238,206,240,3,1,0,3,3,0,-2,-2,1
206,206,240,2,1,0,3,3,0,-2,-2,1
204,206,240,0,1,0,3,3,0,-2,-2,1
174,206,240,3,1,0,2,3,0,-2,-2,1
170,206,240,3,1,0,0,3,0,-2,-2,1
238,14,240,3,1,0,3,1,0,-2,-2,1
238,10,240,3,1,0,3,0,0,-2,-2,1
206,10,240,2,1,0,3,0,0,-2,-2,1
204,10,240,0,1,0,3,0,0,-2,-2,1
170,10,240,3,1,0,0,0,0,-2,-2,1
174,10,240,3,1,0,2,0,0,-2,-2,1
206,0,240,2,0,0,3,0,0,-2,-2,1
238,2,240,3,1,0,3,-1,0,-2,-2,1
206,2,240,2,1,0,3,-1,0,-2,-2,1
204,2,240,0,1,0,3,-1,0,-2,-2,1
206,14,240,2,1,0,3,1,0,-2,-2,1
204,14,240,0,1,0,3,1,0,-2,-2,1
174,14,240,3,1,0,2,1,0,-2,-2,1
170,14,240,3,1,0,0,1,0,-2,-2,1
170,2,240,3,1,0,0,-1,0,-2,-2,1
174,2,240,3,1,0,2,-1,0,-2,-2,1
174,0,240,3,0,0,2,0,0,-2,-2,1
68,14,240,-3,1,0,3,1,0,-2,-2,1
76,14,240,-1,1,0,3,1,0,-2,-2,1
34,14,240,3,1,0,-3,1,0,-2,-2,1
42,14,240,3,1,0,-1,1,0,-2,-2,1
4,14,240,-3,1,0,3,1,0,-3,-2,1
2,14,240,3,1,0,-3,1,0,-3,-2,1
0,14,240,-3,1,0,-3,1,0,-3,-2,1
10,14,240,3,1,0,0,1,0,-3,-2,1
12,14,240,0,1,0,3,1,0,-3,-2,1
14,14,240,2,1,0,1,1,0,-3,-2,1
68,2,240,-3,1,0,3,-1,0,-2,-2,1
76,2,240,-1,1,0,3,-1,0,-2,-2,1
34,2,240,3,1,0,-3,-1,0,-2,-2,1
42,2,240,3,1,0,-1,-1,0,-2,-2,1
0,2,240,-3,1,0,-1,-1,0,-3,-2,1
2,2,240,2,1,0,-2,-1,0,-3,-2,1
12,2,240,0,1,0,3,-1,0,-3,-2,1
14,2,240,2,1,0,1,-1,0,-3,-2,1
10,2,240,3,1,0,0,-1,0,-3,-2,1
4,2,240,-3,1,0,3,-1,0,-3,-2,1
34,206,240,3,1,0,-3,3,0,-2,-2,1
42,206,240,3,1,0,-1,3,0,-2,-2,1
34,10,240,3,1,0,-3,0,0,-2,-2,1
42,0,240,3,0,0,-1,0,0,-2,-2,1
42,10,240,3,1,0,-1,0,0,-2,-2,1
14,76,240,2,-2,0,1,3,0,-3,-2,1
68,206,240,-3,1,0,3,3,0,-2,-2,1
76,206,240,-1,1,0,3,3,0,-2,-2,1
76,10,240,-1,1,0,3,0,0,-2,-2,1
76,0,240,-1,-2,0,3,0,0,-2,-2,1
68,10,240,-3,1,0,3,0,0,-2,-2,1
4,206,240,-3,1,0,3,3,0,-3,-2,1
2,206,240,3,1,0,-3,3,0,-3,-2,1
0,206,240,-3,1,0,-3,3,0,-3,-2,1
14,206,240,2,1,0,1,3,0,-3,-2,1
10,206,240,3,1,0,0,3,0,-3,-2,1
12,206,240,0,1,0,3,3,0,-3,-2,1
14,204,240,2,0,0,1,1,0,-3,0,1
14,68,240,2,-1,0,1,1,0,-3,0,1
4,0,240,-3,0,0,3,0,0,-3,0,1
2,0,240,3,0,0,-3,0,0,-3,0,1
14,0,240,2,0,0,1,0,0,-3,0,1
12,0,240,0,0,0,3,0,0,-3,0,1
10,0,240,3,0,0,0,0,0,-3,0,1
14,4,240,2,-1,0,1,1,0,-3,-1,1
14,12,240,2,0,0,1,1,0,-3,-1,1
2,10,240,3,1,0,-3,0,0,-3,-1,1
4,10,240,-3,1,0,3,0,0,-3,-1,1
12,10,240,0,1,0,3,0,0,-3,-1,1
0,10,240,0,1,0,0,0,0,-3,-1,1
10,10,240,3,1,0,0,0,0,-3,-1,1
14,10,240,2,1,0,1,0,0,-3,-1,1
12,34,240,0,1,0,3,-1,0,-3,0,1
10,34,240,3,1,0,0,-1,0,-3,0,1
14,34,240,2,1,0,1,-1,0,-3,0,1
4,34,240,-3,1,0,3,-1,0,-3,0,1
206,34,240,2,1,0,3,-1,0,-2,0,1
174,34,240,3,1,0,2,-1,0,-2,0,1
76,34,240,-1,1,0,3,-1,0,-2,0,1
42,34,240,3,1,0,-1,-1,0,-2,0,1
2,34,240,3,1,0,-3,-1,0,-3,0,1
2,174,240,3,2,0,-3,1,0,-3,-1,1
2,170,240,3,1,0,-3,0,0,-3,0,1
2,238,240,3,1,0,-3,1,0,-3,0,1
2,42,240,3,2,0,-3,-1,0,-3,-1,1
206,238,240,2,1,0,3,1,0,-2,0,1
76,238,240,-1,1,0,3,1,0,-2,0,1
174,238,240,3,1,0,2,1,0,-2,0,1
42,238,240,3,1,0,-1,1,0,-2,0,1
4,238,240,-3,1,0,3,1,0,-3,0,1
10,238,240,3,1,0,0,1,0,-3,0,1
12,238,240,0,1,0,3,1,0,-3,0,1
14,238,240,2,1,0,1,1,0,-3,0,1
10,174,240,3,2,0,0,1,0,-3,-1,1
4,174,240,-3,2,0,3,1,0,-3,-1,1
0,174,240,-3,2,0,0,1,0,-3,-1,1
238,174,240,3,2,0,3,1,0,-2,-1,1
174,174,240,3,2,0,2,1,0,-2,-1,1
170,174,240,3,2,0,0,1,0,-2,-1,1
206,174,240,2,2,0,3,1,0,-2,-1,1
204,174,240,0,2,0,3,1,0,-2,-1,1
34,174,240,3,2,0,-3,1,0,-2,-1,1
42,174,240,3,2,0,-1,1,0,-2,-1,1
