f_1,f_2,f_3,f_4,"w_1,1","w_1,2","w_1,3","w_1,4","w_2,1","w_2,2","w_2,3","w_2,4","w_3,1","w_3,2","w_3,3","w_3,4","w_4,1","w_4,2","w_4,3","w_4,4"
52942,0,61680,65280,1,0,0,0,2,0,0,0,-1,0,1,0,0,0,0,1
52942,0,61682,65280,1,0,1,0,2,0,-1,0,-1,0,3,0,0,0,-1,1
52942,0,61684,65280,1,0,-1,0,2,0,1,0,-1,0,3,0,0,0,-1,1
52942,0,61690,65280,1,0,1,0,2,0,0,0,-1,0,3,0,0,0,-1,1
52942,0,61694,65280,1,0,1,0,2,0,1,0,-1,0,3,0,0,0,-2,1
52974,0,61694,65280,2,0,1,0,3,0,1,0,-1,0,3,0,-1,0,-2,1
52974,68,61694,65280,2,-1,1,0,3,1,1,0,-1,0,3,0,-1,-1,-2,1
52974,68,61684,65280,2,-1,-1,0,3,1,1,0,-1,0,4,0,-1,-1,-2,1
52974,68,61682,65280,2,-1,1,0,3,1,-1,0,-1,0,4,0,-1,-1,-2,1
52974,68,61690,65280,2,-1,2,0,3,1,-1,0,-1,0,4,0,-1,-1,-2,1
514,68,61690,65280,1,-1,2,0,-1,1,-1,0,-1,0,4,0,0,-1,-2,1
514,68,61684,65280,1,-1,-1,0,-1,1,1,0,-1,0,4,0,0,-1,-2,1
514,68,61694,65280,1,-1,1,0,-1,1,1,0,-1,0,4,0,0,-1,-2,1
514,68,61682,65280,1,-1,1,0,-1,1,-1,0,-1,0,4,0,0,-1,-2,1
514,68,61680,65280,1,-1,0,0,-1,1,-1,0,-1,0,4,0,0,-1,-2,1
514,0,61682,65280,1,-1,1,0,-1,0,-1,0,-1,0,4,0,0,-1,-2,1
514,41722,61682,65280,1,3,1,0,-1,-1,-1,0,-1,2,4,0,0,-2,-2,1
514,44782,61682,65280,1,4,1,0,-1,3,-1,0,-1,-1,4,0,0,-2,-2,1
514,44718,61682,65280,1,4,1,0,-1,2,-1,0,-1,-2,4,0,0,-1,-2,1
514,44718,61690,65280,1,4,1,0,-1,2,0,0,-1,-2,4,0,0,-1,-2,1
514,44718,61684,65280,1,4,-1,0,-1,2,1,0,-1,-2,4,0,0,-1,-2,1
514,44718,61694,65280,1,4,1,0,-1,2,1,0,-1,-2,4,0,0,-1,-2,1
514,44782,61694,65280,1,4,1,0,-1,2,1,0,-1,-1,4,0,0,-1,-2,1
514,44782,61690,65280,1,4,1,0,-1,2,0,0,-1,-1,4,0,0,-1,-2,1
514,44782,61684,65280,1,4,-1,0,-1,2,1,0,-1,-1,4,0,0,-1,-2,1
514,44782,61680,65280,1,4,0,0,-1,2,0,0,-1,-1,4,0,0,-1,-2,1
514,44718,61680,65280,1,4,0,0,-1,2,0,0,-1,-2,4,0,0,-1,-2,1
514,43694,61680,65280,1,4,0,0,-1,1,0,0,-1,-2,4,0,0,-1,-2,1
514,43706,61680,65280,1,4,0,0,-1,-1,0,0,-1,1,4,0,0,-1,-2,1
514,43758,61680,65280,1,4,0,0,-1,1,0,0,-1,0,4,0,0,-1,-2,1
514,43770,61680,65280,1,4,0,0,-1,0,0,0,-1,1,4,0,0,-1,-2,1
514,43774,61680,65280,1,4,0,0,-1,1,0,0,-1,1,4,0,0,-2,-2,1
514,43774,61684,65280,1,4,-1,0,-1,1,1,0,-1,1,4,0,0,-2,-2,1
514,43774,61682,65280,1,4,1,0,-1,1,-1,0,-1,1,4,0,0,-2,-2,1
514,43774,61690,65280,1,4,2,0,-1,1,-1,0,-1,1,4,0,0,-2,-2,1
514,43774,61694,65280,1,4,2,0,-1,1,1,0,-1,1,4,0,0,-2,-3,1
514,43770,61694,65280,1,4,2,0,-1,0,1,0,-1,2,4,0,0,-2,-3,1
514,43770,61690,65280,1,4,2,0,-1,0,0,0,-1,2,4,0,0,-2,-3,1
514,43706,61690,65280,1,4,2,0,-1,-1,0,0,-1,1,4,0,0,-2,-3,1
514,43706,61684,65280,1,4,-1,0,-1,-1,1,0,-1,1,4,0,0,-2,-2,1
514,43706,61682,65280,1,4,1,0,-1,-1,-1,0,-1,1,4,0,0,-2,-2,1
514,43770,61682,65280,1,4,1,0,-1,-1,-1,0,-1,2,4,0,0,-2,-2,1
514,43770,61684,65280,1,4,-1,0,-1,-1,1,0,-1,2,4,0,0,-2,-2,1
514,41722,61684,65280,1,4,-1,0,-1,-1,1,0,-1,2,4,0,0,-3,-2,1
514,41658,61684,65280,1,4,-1,0,-1,-1,1,0,-1,1,4,0,0,-3,-2,1
514,41658,61682,65280,1,4,1,0,-1,-1,-1,0,-1,1,4,0,0,-3,-2,1
514,41210,61682,65280,1,3,1,0,-1,0,-1,0,-1,1,4,0,0,-3,-2,1
514,41210,61684,65280,1,3,-1,0,-1,0,1,0,-1,1,4,0,0,-3,-2,1
514,41214,61684,65280,1,2,-1,0,-1,1,1,0,-1,2,4,0,0,-3,-2,1
514,41214,61682,65280,1,2,1,0,-1,1,-1,0,-1,2,4,0,0,-3,-2,1
514,43694,61682,65280,1,4,1,0,-1,1,-1,0,-1,-1,4,0,0,-2,-2,1
514,43694,61684,65280,1,4,-1,0,-1,1,1,0,-1,-1,4,0,0,-2,-2,1
514,43758,61684,65280,1,4,-1,0,-1,2,1,0,-1,-1,4,0,0,-2,-2,1
514,43758,61682,65280,1,4,1,0,-1,2,-1,0,-1,-1,4,0,0,-2,-2,1
514,10922,61684,65280,1,4,-1,0,-1,-1,1,0,-1,-1,4,0,0,-2,-2,1
514,10794,61684,65280,1,4,-1,0,-1,-3,1,0,-1,-1,4,0,0,0,-2,1
514,2730,61684,65280,1,4,-1,0,-1,-1,1,0,-1,-2,4,0,0,-2,-2,1
514,2734,61684,65280,1,4,-1,0,-1,1,1,0,-1,-2,4,0,0,-3,-2,1
514,2702,61684,65280,1,4,-1,0,-1,3,1,0,-1,-4,4,0,0,-3,-2,1
514,2602,61684,65280,1,4,-1,0,-1,-1,1,0,-1,-3,4,0,0,-2,-2,1
514,2574,61684,65280,1,2,-1,0,-1,1,1,0,-1,-3,4,0,0,-1,-2,1
514,3598,61684,65280,1,2,-1,0,-1,1,1,0,-1,-3,4,0,0,0,-2,1
514,3726,61684,65280,1,2,-1,0,-1,2,1,0,-1,-3,4,0,0,-1,-2,1
514,3214,61684,65280,1,1,-1,0,-1,3,1,0,-1,-3,4,0,0,-1,-2,1
514,3086,61684,65280,1,1,-1,0,-1,2,1,0,-1,-3,4,0,0,-1,-2,1
514,3084,61684,65280,1,0,-1,0,-1,3,1,0,-1,-3,4,0,0,-1,-2,1
514,3148,61684,65280,1,-1,-1,0,-1,4,1,0,-1,-3,4,0,0,-1,-2,1
514,3276,61684,65280,1,0,-1,0,-1,4,1,0,-1,-3,4,0,0,-1,-2,1
514,3278,61684,65280,1,1,-1,0,-1,3,1,0,-1,-2,4,0,0,-2,-2,1
514,1228,61684,65280,1,-1,-1,0,-1,4,1,0,-1,-2,4,0,0,-3,-2,1
514,1092,61684,65280,1,-4,-1,0,-1,4,1,0,-1,-2,4,0,0,-3,-2,1
514,1100,61684,65280,1,-3,-1,0,-1,4,1,0,-1,-2,4,0,0,-3,-2,1
514,1036,61684,65280,1,-3,-1,0,-1,4,1,0,-1,-4,4,0,0,-3,-2,1
514,1028,61684,65280,1,-4,-1,0,-1,4,1,0,-1,-4,4,0,0,-3,-2,1
514,76,61684,65280,1,-3,-1,0,-1,4,1,0,-1,-3,4,0,0,-4,-2,1
514,80,61684,65280,1,-3,-1,0,-1,0,1,0,-1,1,4,0,0,-4,-2,1
514,84,61684,65280,1,-3,-1,0,-1,1,1,0,-1,1,4,0,0,-4,-2,1
514,112,61684,65280,1,-1,-1,0,-1,-1,1,0,-1,2,4,0,0,-4,-2,1
514,50,61684,65280,1,1,-1,0,-1,-3,1,0,-1,2,4,0,0,-4,-2,1
514,178,61684,65280,1,1,-1,0,-1,-2,1,0,-1,2,4,0,0,-4,-2,1
514,186,61684,65280,1,2,-1,0,-1,-1,1,0,-1,1,4,0,0,-4,-2,1
514,170,61684,65280,1,2,-1,0,-1,-1,1,0,-1,0,4,0,0,-4,-2,1
514,142,61684,65280,1,1,-1,0,-1,1,1,0,-1,-1,4,0,0,-4,-2,1
